epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,69.2331,1.11859,1.4217,1.41218,0.36823,0.75,0.50082,0.3217,1.47204,2.95023,1.86958,0.0011684,0.0011684,0.0011684
44,70.7627,1.127,1.30791,1.32918,0.73937,0.71281,0.80453,0.58384,1.22249,2.40148,1.71609,0.0011486,0.0011486,0.0011486
45,72.2456,0.99138,1.17846,1.28768,1,0.97324,0.995,0.72837,1.12877,1.88049,1.57632,0.0011288,0.0011288,0.0011288
46,73.7914,1.09893,1.20838,1.29259,0.75923,0.875,0.89297,0.64159,1.10732,1.90175,1.51755,0.001109,0.001109,0.001109
47,75.3019,1.12249,1.25901,1.41652,0.75923,0.875,0.89297,0.64159,1.10732,1.90175,1.51755,0.0010892,0.0010892,0.0010892
48,76.8608,1.04664,1.09182,1.28501,0.74393,0.875,0.90281,0.66793,1.17329,1.78251,1.60943,0.0010694,0.0010694,0.0010694
49,78.435,1.09507,1.27221,1.33935,0.83409,0.875,0.89304,0.63411,1.22613,1.69056,1.67942,0.0010496,0.0010496,0.0010496
50,79.9563,0.92309,1.06953,1.25733,0.85221,0.875,0.85504,0.63067,1.22734,1.57751,1.71507,0.0010298,0.0010298,0.0010298
51,81.6632,0.96653,1.16031,1.26542,0.85221,0.875,0.85504,0.63067,1.22734,1.57751,1.71507,0.00101,0.00101,0.00101
52,83.2332,1.1007,1.25738,1.36806,0.96384,0.75,0.82911,0.59326,1.16398,1.51372,1.59984,0.0009902,0.0009902,0.0009902
53,84.7642,0.99341,1.11124,1.26732,0.9922,0.75,0.86126,0.57071,1.1702,1.43411,1.56538,0.0009704,0.0009704,0.0009704
54,86.3105,1.00817,1.0455,1.2469,0.87111,0.84779,0.88549,0.56583,1.15735,1.43194,1.6152,0.0009506,0.0009506,0.0009506
55,87.8354,1.02347,1.13531,1.25237,0.87111,0.84779,0.88549,0.56583,1.15735,1.43194,1.6152,0.0009308,0.0009308,0.0009308
56,89.3849,1.02995,1.07464,1.28097,0.76648,0.875,0.88544,0.62042,1.06499,1.24258,1.56966,0.000911,0.000911,0.000911
57,90.9048,0.95124,1.04013,1.23446,0.87109,0.84764,0.90022,0.64847,1.03794,1.18003,1.49771,0.0008912,0.0008912,0.0008912
58,92.4232,0.99163,1.08617,1.28519,1,0.7439,0.85394,0.60285,1.08981,1.23292,1.54013,0.0008714,0.0008714,0.0008714
59,94.1027,0.90425,1.05831,1.2102,1,0.7439,0.85394,0.60285,1.08981,1.23292,1.54013,0.0008516,0.0008516,0.0008516
60,95.7077,1.04786,1.1915,1.28226,1,0.7394,0.80577,0.57381,1.0844,1.18504,1.49289,0.0008318,0.0008318,0.0008318
61,97.3534,0.95133,1.00581,1.20387,0.98224,0.625,0.79732,0.58411,1.20514,1.1932,1.54725,0.000812,0.000812,0.000812
62,98.9378,0.87056,0.99283,1.2172,1,0.86495,0.88171,0.66491,1.07833,1.08426,1.51613,0.0007922,0.0007922,0.0007922
63,100.528,0.96054,0.99819,1.25241,1,0.86495,0.88171,0.66491,1.07833,1.08426,1.51613,0.0007724,0.0007724,0.0007724
64,102.187,0.95271,1.01631,1.23324,1,0.85322,0.88603,0.61718,1.14493,1.13557,1.59582,0.0007526,0.0007526,0.0007526
65,103.818,0.9633,1.03857,1.20053,0.86522,0.875,0.87475,0.57901,1.16643,1.167,1.61224,0.0007328,0.0007328,0.0007328
66,105.578,0.8645,0.99389,1.19998,0.88882,0.99934,0.96722,0.59196,1.24366,1.20398,1.72948,0.000713,0.000713,0.000713
67,107.154,0.83177,0.93309,1.10939,0.88882,0.99934,0.96722,0.59196,1.24366,1.20398,1.72948,0.0006932,0.0006932,0.0006932
68,108.895,0.88002,1.03011,1.20795,1,0.98232,0.995,0.59868,1.31525,1.12982,1.7807,0.0006734,0.0006734,0.0006734
69,110.403,0.95688,0.98172,1.29046,1,0.87476,0.895,0.59935,1.27555,1.06358,1.72671,0.0006536,0.0006536,0.0006536
70,111.941,0.90417,0.89154,1.21074,0.85816,0.875,0.8693,0.61152,1.25289,1.02586,1.63481,0.0006338,0.0006338,0.0006338
71,113.459,0.93682,1.03838,1.29864,0.85816,0.875,0.8693,0.61152,1.25289,1.02586,1.63481,0.000614,0.000614,0.000614
72,115.006,0.86428,0.95449,1.19134,0.98765,0.75,0.86744,0.63358,1.1796,1.01036,1.60451,0.0005942,0.0005942,0.0005942
73,116.52,0.98692,1.00101,1.30743,0.98766,0.75,0.86897,0.63831,1.19066,1.02288,1.62662,0.0005744,0.0005744,0.0005744
74,118.105,0.88844,0.92666,1.22802,0.98918,0.75,0.87502,0.6164,1.24691,1.08936,1.66161,0.0005546,0.0005546,0.0005546
75,119.72,0.87154,0.92026,1.20046,0.98918,0.75,0.87502,0.6164,1.24691,1.08936,1.66161,0.0005348,0.0005348,0.0005348
76,121.206,0.80196,0.92067,1.19803,1,0.86059,0.89633,0.60788,1.27485,1.11482,1.71511,0.000515,0.000515,0.000515
77,122.851,0.8899,0.91353,1.21354,1,0.86769,0.905,0.57107,1.34326,1.08207,1.77006,0.0004952,0.0004952,0.0004952
78,124.384,0.91006,0.97286,1.26573,0.9969,0.875,0.91864,0.57631,1.34359,1.05862,1.77298,0.0004754,0.0004754,0.0004754
79,125.904,0.82338,0.93504,1.18443,0.9969,0.875,0.91864,0.57631,1.34359,1.05862,1.77298,0.0004556,0.0004556,0.0004556
80,127.469,0.88228,0.95923,1.23499,0.99125,0.875,0.94357,0.59294,1.3214,1.0075,1.75098,0.0004358,0.0004358,0.0004358
81,128.992,0.89362,0.93315,1.18633,0.98818,0.875,0.96227,0.61513,1.29336,0.97915,1.6731,0.000416,0.000416,0.000416
82,130.525,0.81055,0.87744,1.10573,1,0.98729,0.995,0.65395,1.25388,0.95497,1.63473,0.0003962,0.0003962,0.0003962
83,132.05,0.79499,0.87665,1.13063,1,0.98729,0.995,0.65395,1.25388,0.95497,1.63473,0.0003764,0.0003764,0.0003764
84,133.72,0.78931,0.80329,1.11383,0.99204,0.875,0.98167,0.66317,1.20133,0.97251,1.63195,0.0003566,0.0003566,0.0003566
85,135.226,0.7771,0.79519,1.10398,0.99262,0.875,0.98167,0.64169,1.20498,0.96795,1.68178,0.0003368,0.0003368,0.0003368
86,136.75,0.77527,0.82261,1.1327,0.99132,0.875,0.955,0.6527,1.22041,0.9549,1.73287,0.000317,0.000317,0.000317
87,138.252,0.74121,0.79136,1.10557,0.99132,0.875,0.955,0.6527,1.22041,0.9549,1.73287,0.0002972,0.0002972,0.0002972
88,139.784,0.74283,0.83154,1.1198,0.98965,0.875,0.955,0.67608,1.22158,0.90441,1.72475,0.0002774,0.0002774,0.0002774
